@timestamp,node_description,node_name,error_code,error_message,error_color,requires_ui
2025-05-15T06:02:07.093-05:00,84 - HVS/2,84_2_HVS2,M0B0E,IOM - Jam in pitlane,Red,Yes
2025-05-15T06:02:18.452-05:00,81 - HVS/1,81_1_HVS2,M0B0E,IOM - Jam in pitlane,Red,Yes
2025-05-15T06:04:04.554-05:00,81 - HVS/1,81_1_HVS2,SC051,Wrong Carrier Flow,Red,Maintenance
2025-05-15T06:06:29.197-05:00,163 - UTC/28,163_28_UTC(SLAVE),S0033,CANoE: Timeout receiving answer,Red,Yes
2025-05-15T06:07:08.490-05:00,50 - IAU/2,50_2_IAU,5C96,Analyzer Exit - Rack not detected,Red,No
2025-05-15T06:09:13.938-05:00,103 - FIM/2,103_2_BIM,12D4,Diverter jam error,Red,Yes
2025-05-15T06:15:22.800-05:00,104 - FIM/3,104_3_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-15T06:16:34.695-05:00,104 - FIM/3,104_3_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-15T06:18:11.090-05:00,79 - SM/7,79_7_SM,SC012,Sealer Reel Empty,Red,Maintenance
2025-05-15T06:18:48.811-05:00,27 - CO8/1,27_1_CO8,5DC1,Rack Not Present At Analyzer Input Position,Red,No
2025-05-15T06:20:02.823-05:00,79 - SM/7,79_7_SM,SC012,Sealer Reel Empty,Red,Maintenance
2025-05-15T06:23:06.732-05:00,103 - FIM/2,103_2_BIM,12C4,Hopper - Tube Elevator Up Motion Error,Red,Yes
2025-05-15T06:23:50.434-05:00,27 - CO8/1,27_1_CO8,5ECF,Robot Not Homed,Red,No
2025-05-15T06:24:55.527-05:00,44 - TBM/7,44_4_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T06:24:56.299-05:00,103 - FIM/2,103_2_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T06:26:42.951-05:00,103 - FIM/2,103_2_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T06:26:49.330-05:00,103 - FIM/2,103_2_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T06:28:29.660-05:00,103 - FIM/2,103_2_BIM,12D4,Diverter jam error,Red,Yes
2025-05-15T06:31:44.991-05:00,24 - UNS/1,24_1_UNS,M3282,Safety Shield Open,Red,Yes
2025-05-15T06:32:57.532-05:00,129 - ALQ/4,129_4_ALQ,8011,Carrier Not Arrived on Antenna,Red,Maintenance
2025-05-15T06:33:55.232-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-15T06:34:04.634-05:00,123 - DCM/7,123_7_DCM,587,Cap Drop Failure,Red,Yes
2025-05-15T06:34:30.971-05:00,119 - DCM/3,119_3_DCM,SC011,Decapper Waste Full,Red,Maintenance
2025-05-15T06:35:16.812-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
